id,name,city,location_type,store_size_sqft,monthly_footfall,income_index,budget_affinity,mid_range_affinity,premium_affinity,flagship_affinity
STORE_01,MobiMart Indiranagar 100ft Rd,Bangalore,High Street,3500,65000,1.85,0.4,0.8,1.8,2.2
STORE_02,MobiMart Phoenix Marketcity,Bangalore,Premium Mall,4200,85000,1.95,0.35,0.75,1.9,2.3
STORE_03,MobiMart Koramangala 80ft Rd,Bangalore,High Street,3200,58000,1.75,0.45,0.9,1.7,1.95
STORE_04,MobiMart Whitefield Forum Mall,Bangalore,Premium Mall,3800,72000,1.8,0.4,0.85,1.75,2.1
STORE_05,MobiMart Jayanagar 4th Block,Bangalore,High Street,3000,52000,1.5,0.6,1.1,1.4,1.5
STORE_06,MobiMart Malleshwaram Sampige,Bangalore,High Street,2800,48000,1.4,0.65,1.2,1.3,1.35
STORE_07,MobiMart HSR Layout Sector 1,Bangalore,High Street,2900,45000,1.6,0.5,1.0,1.55,1.7
STORE_08,MobiMart Majestic Bus Stand Rd,Bangalore,Mass Market,2200,80000,0.95,1.8,1.4,0.6,0.4
STORE_09,MobiMart Devaraja Market Mysore,Mysore,Tier-2 Center,2400,38000,1.15,1.2,1.3,0.9,0.7
STORE_10,MobiMart Jayalakshmipuram,Mysore,Tier-2 Center,2600,32000,1.3,0.9,1.25,1.15,0.95
STORE_11,MobiMart VV Mohalla Mysore,Mysore,High Street,2500,35000,1.25,0.95,1.3,1.1,0.85
STORE_12,MobiMart CBT Road Hubli,Hubli,Tier-2 Center,2200,36000,1.05,1.4,1.35,0.75,0.55
STORE_13,MobiMart Vidyanagar Hubli,Hubli,Tier-2 Center,2300,30000,1.1,1.3,1.3,0.8,0.6
STORE_14,MobiMart Gokul Road Hubli,Hubli,Tier-2 Center,2100,28000,1.0,1.5,1.3,0.7,0.5
STORE_15,MobiMart BH Road Tumkur,Tumkur,Tier-3 Center,1800,25000,0.85,1.75,1.4,0.55,0.35
STORE_16,MobiMart SS Puram Tumkur,Tumkur,Tier-3 Center,1900,22000,0.9,1.65,1.35,0.6,0.4
STORE_17,MobiMart Kyatsandra Tumkur,Tumkur,Tier-3 Center,1600,18000,0.75,1.9,1.25,0.45,0.25
STORE_18,MobiMart PB Road Davangere,Davangere,Tier-3 Center,1800,24000,0.8,1.8,1.35,0.5,0.3
STORE_19,MobiMart MCC B Block Davangere,Davangere,Tier-3 Center,2000,26000,0.95,1.55,1.4,0.65,0.45
STORE_20,MobiMart Mandipet Davangere,Davangere,Tier-3 Center,1600,20000,0.7,2.1,1.2,0.4,0.2
STORE_21,MobiMart College Road Belgaum,Belgaum,Tier-2 Center,2300,31000,1.1,1.3,1.35,0.85,0.6
STORE_22,MobiMart Tilakwadi Belgaum,Belgaum,Tier-2 Center,2100,27000,1.05,1.35,1.3,0.8,0.55
STORE_23,MobiMart Khade Bazar Belgaum,Belgaum,Mass Market,2000,34000,0.95,1.6,1.35,0.65,0.4
STORE_24,MobiMart Hampankatta Mangalore,Mangalore,Tier-2 Center,2600,36000,1.35,0.85,1.2,1.3,1.1
STORE_25,MobiMart MG Road Mangalore,Mangalore,High Street,2700,39000,1.4,0.8,1.15,1.35,1.2
